system:index,count,label,latitude,longitude,year,.geo
1_1_2_+405440+106634,1,1,19.15828023288862,72.84267959021217,2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84267959021217,19.15828023288862]}"
1_1_2_+405763+106480,1,1,19.13061212213774,72.90071075756629,2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90071075756629,19.13061212213774]}"
1_1_2_+405771+106493,1,1,19.132947741876453,72.90214806202088,2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90214806202088,19.132947741876453]}"
1_1_2_+405803+106461,1,1,19.127198524058088,72.90789727983925,2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90789727983925,19.127198524058088]}"
1_1_2_+405811+106459,1,1,19.126839197944438,72.90933458429384,2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90933458429384,19.126839197944438]}"
1_1_2_+405817+106456,2,1,19.12630020877397,72.91032273110638,2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91032273110638,19.12630020877397]}"
