system:index,NDVI,.geo
0,-0.061978334221275085,"{""type"":""Point"",""coordinates"":[72.9717913339749,19.114485702942375]}"
1,-0.1028749567024593,"{""type"":""Point"",""coordinates"":[72.76108784489246,19.013402360052737]}"
2,0.10516121681667996,"{""type"":""Point"",""coordinates"":[72.82976023193935,19.116442515278873]}"
3,0.3894187330589298,"{""type"":""Point"",""coordinates"":[73.03856716330164,19.177325363510832]}"
4,-0.12202656780970034,"{""type"":""Point"",""coordinates"":[72.90843566904321,18.99006217362121]}"
5,-0.08962025316455696,"{""type"":""Point"",""coordinates"":[72.79441217617176,18.993236650121773]}"
6,-0.10496501166277908,"{""type"":""Point"",""coordinates"":[72.98334154448271,19.03851464072034]}"
7,0.08390084445655135,"{""type"":""Point"",""coordinates"":[73.00400170178395,18.978526323815995]}"
8,0.061946902654867256,"{""type"":""Point"",""coordinates"":[72.95058603446263,18.95083291739759]}"
9,0.20879880225728434,"{""type"":""Point"",""coordinates"":[73.0061412305554,19.043528735922177]}"
10,-0.05130890052356021,"{""type"":""Point"",""coordinates"":[72.97302396281539,19.110412321063762]}"
11,0.06228813559322034,"{""type"":""Point"",""coordinates"":[72.92003862275465,19.044051092761556]}"
12,0.17793964620187305,"{""type"":""Point"",""coordinates"":[72.90086199051278,19.099820576121605]}"
13,-0.10116608887488182,"{""type"":""Point"",""coordinates"":[72.96867834399347,18.976245448271907]}"
14,0.09116353458616554,"{""type"":""Point"",""coordinates"":[72.7898193294477,19.139097968750114]}"
15,0.4589445608687369,"{""type"":""Point"",""coordinates"":[73.04093071589286,19.16710557338195]}"
16,0.22413596441199954,"{""type"":""Point"",""coordinates"":[73.05148921464588,19.029923059813207]}"
17,0.32277596646483464,"{""type"":""Point"",""coordinates"":[72.97636374318255,18.95610903080998]}"
18,-0.11465941905894343,"{""type"":""Point"",""coordinates"":[72.77779211063638,18.98822662387013]}"
19,0.19979539641943733,"{""type"":""Point"",""coordinates"":[72.84254784122163,19.145857855116223]}"
20,0.3958765135813243,"{""type"":""Point"",""coordinates"":[72.84394263310782,19.04864035339654]}"
21,0.05429625724828677,"{""type"":""Point"",""coordinates"":[73.00475363935762,18.99888235091512]}"
22,0.04053761109906785,"{""type"":""Point"",""coordinates"":[72.92808862228006,19.056368266241396]}"
23,0.37724418988875424,"{""type"":""Point"",""coordinates"":[73.04353557382939,19.04419278589805]}"
24,0.2766155276615528,"{""type"":""Point"",""coordinates"":[72.98346578791234,18.962378715506397]}"
25,0.29745815251084934,"{""type"":""Point"",""coordinates"":[72.97938321942293,19.105169394441546]}"
26,0.3819672131147541,"{""type"":""Point"",""coordinates"":[72.8905835692239,19.190982666145352]}"
27,-0.1096389532957933,"{""type"":""Point"",""coordinates"":[72.7762221682339,19.10293811406721]}"
28,0.05014504765851637,"{""type"":""Point"",""coordinates"":[72.89471130541051,19.02177025947312]}"
29,0.44056437389770725,"{""type"":""Point"",""coordinates"":[72.9242431949262,19.028298750136152]}"
30,0.31525583588776235,"{""type"":""Point"",""coordinates"":[72.97357327532718,19.137380913959394]}"
31,0.13764044943820225,"{""type"":""Point"",""coordinates"":[73.05840222235292,19.065470044142828]}"
32,0.28994082840236685,"{""type"":""Point"",""coordinates"":[73.05978519835942,19.16223734503945]}"
33,0.40328542094455855,"{""type"":""Point"",""coordinates"":[72.92640549635539,19.15883211068428]}"
34,0.09222714458316553,"{""type"":""Point"",""coordinates"":[72.9779672077448,19.10755103553996]}"
35,0.15371716042481834,"{""type"":""Point"",""coordinates"":[72.85355139375531,19.087279580178414]}"
36,0.27634285714285717,"{""type"":""Point"",""coordinates"":[72.97053700789169,19.193226401062955]}"
37,0.0982066609735269,"{""type"":""Point"",""coordinates"":[72.82710486323865,19.08465126163966]}"
38,0.3275643731532292,"{""type"":""Point"",""coordinates"":[72.88602680042504,19.12322021905159]}"
39,0.3665913777865069,"{""type"":""Point"",""coordinates"":[73.0234969490779,19.124042414956932]}"
40,-0.1115485564304462,"{""type"":""Point"",""coordinates"":[72.81674742283123,19.100137987723862]}"
41,-0.13022188217291508,"{""type"":""Point"",""coordinates"":[72.88548612569504,18.985136736681397]}"
42,0.08918630818429468,"{""type"":""Point"",""coordinates"":[72.85835854333392,19.174215991670803]}"
43,0.06734650520501381,"{""type"":""Point"",""coordinates"":[72.81754887113252,19.18892848545078]}"
44,0.09222222222222222,"{""type"":""Point"",""coordinates"":[73.03021424337794,18.992718326692493]}"
45,0.20133111480865223,"{""type"":""Point"",""coordinates"":[72.83852823299412,19.18801150755464]}"
46,0.2508458192363461,"{""type"":""Point"",""coordinates"":[72.96115009046491,18.938490855431617]}"
47,0.08006879419071278,"{""type"":""Point"",""coordinates"":[72.87957143029512,19.02499784163493]}"
48,-0.07779632721202004,"{""type"":""Point"",""coordinates"":[72.82379436227954,19.039275777858602]}"
49,0.24246274691001501,"{""type"":""Point"",""coordinates"":[72.84693055755517,19.163592782291403]}"
50,-0.114546965918537,"{""type"":""Point"",""coordinates"":[72.78137343126286,19.09514174932708]}"
51,0.4083248730964467,"{""type"":""Point"",""coordinates"":[72.92136450233939,19.170664474289346]}"
52,-0.11484782243147805,"{""type"":""Point"",""coordinates"":[72.7889993434035,19.037863025254143]}"
53,-0.005025125628140704,"{""type"":""Point"",""coordinates"":[73.01959616313763,18.98523498420484]}"
54,-0.1284532542531606,"{""type"":""Point"",""coordinates"":[72.93151377103537,18.9459227334685]}"
55,0.30324623911322246,"{""type"":""Point"",""coordinates"":[72.93247860433485,19.032230866035647]}"
56,0.008766803039158387,"{""type"":""Point"",""coordinates"":[72.85721585098943,19.09086241365494]}"
57,-0.022892819979188347,"{""type"":""Point"",""coordinates"":[72.98222555907111,19.165894834289826]}"
58,-0.12864963503649635,"{""type"":""Point"",""coordinates"":[72.89426560626742,18.975258189879774]}"
59,0.21943909227146222,"{""type"":""Point"",""coordinates"":[73.07020197503307,19.131356758136405]}"
60,0.06682986536107711,"{""type"":""Point"",""coordinates"":[72.81728422220822,19.181088590415435]}"
61,0.19219279028082056,"{""type"":""Point"",""coordinates"":[72.91590191766372,19.04411379884142]}"
62,0.20355053459753883,"{""type"":""Point"",""coordinates"":[72.93256749838076,19.070764443124823]}"
63,0.2504258943781942,"{""type"":""Point"",""coordinates"":[72.99442369612576,18.955062364448406]}"
64,-0.11083743842364532,"{""type"":""Point"",""coordinates"":[72.99054797624476,19.000735249377513]}"
65,0.28136243703526026,"{""type"":""Point"",""coordinates"":[73.04143475427769,19.115186963494732]}"
66,-0.10512982900569981,"{""type"":""Point"",""coordinates"":[72.96274436541388,18.979896429759243]}"
67,-0.12880418075622502,"{""type"":""Point"",""coordinates"":[72.87957446990089,18.972362516191097]}"
68,0.09500351864883885,"{""type"":""Point"",""coordinates"":[72.84820825486442,19.002879218914398]}"
69,-0.11591722421036253,"{""type"":""Point"",""coordinates"":[72.88187202374175,18.99936287005628]}"
70,-0.1226124460874923,"{""type"":""Point"",""coordinates"":[72.87749260171108,18.9788473874488]}"
71,0.284128159035635,"{""type"":""Point"",""coordinates"":[73.06567737662452,19.05069527265505]}"
72,0.2348008385744235,"{""type"":""Point"",""coordinates"":[72.82954277128616,19.08212937001407]}"
73,0.015546133656369877,"{""type"":""Point"",""coordinates"":[72.81968141035196,18.96479165017563]}"
74,0.1362384578000972,"{""type"":""Point"",""coordinates"":[72.8294401163383,18.977358081106914]}"
75,-0.10658682634730539,"{""type"":""Point"",""coordinates"":[72.78980029882091,19.019491774982267]}"
76,0.04917517674783975,"{""type"":""Point"",""coordinates"":[73.00348644224724,19.088432095678645]}"
77,-0.12882642759066312,"{""type"":""Point"",""coordinates"":[72.8520000351533,18.904671130064578]}"
78,0.1094325004842146,"{""type"":""Point"",""coordinates"":[72.87842896534812,19.104230135903496]}"
79,0.2784688995215311,"{""type"":""Point"",""coordinates"":[72.93302723058221,19.022248891726996]}"
80,-0.10407239819004525,"{""type"":""Point"",""coordinates"":[72.78133019863438,19.077132991115658]}"
81,0.026186927826272088,"{""type"":""Point"",""coordinates"":[72.95054576491452,18.95344101089663]}"
82,0.4109353507565337,"{""type"":""Point"",""coordinates"":[72.89359526668066,19.140154835524235]}"
