system:index,mangrove_area_sq_km,reduction_percent,reduction_sq_km,year,.geo
0,24.60256980666588,0.0,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,20.7129986124188,15.809613486771731,3.889571194247079,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,21.697454653086975,11.808177667650742,2.9051151535789046,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,21.759182990191412,11.557275678185754,2.8433868164744673,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,22.563286360262946,8.288904217844777,2.0392834464029335,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,22.669270906059353,7.858117732411491,1.9332989006065269,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
