system:index,conversion_percent_of_2020_mangrove,mangrove_loss_sq_km,mangrove_to_urban_sq_km,new_conversion_sq_km,remaining_mangrove_sq_km,urban_share_of_mangrove_loss_percent,year,.geo
0,0.0,0.0,0,0,24.60256980666588,0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.012606094513242032,3.889571194247079,0.0031014232025146486,0.0031014232025146486,20.7129986124188,0.07973689251663137,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.018338635577346902,2.9051151535789046,0.004511775619506836,0.001410352416992187,21.697454653086975,0.15530453634337468,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.03400606708887852,2.8433868164744673,0.008366366394042968,0.003854590774536133,21.759182990191412,0.29423947334807143,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.048910977628789244,2.0392834464029335,0.012033357414245606,0.003666991020202638,22.563286360262946,0.5900777273248157,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.15059148165586989,1.9332989006065269,0.03704937439727783,0.025016016983032227,22.669270906059353,1.916381082390026,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
